Samples	SBS5	SBS17a	SBS17b	SBS18	SBS36	SBS96B
HAP1clL-5FU-1-6	157	76	159	387	0	0
HAP1clL-5FU-2-1	101	25	59	374	0	0
HAP1clL-5FU1-A1	63	46	98	344	0	0
HAP1clL-5FU2-A2	63	22	74	245	0	0
HAP1clL-5FU3-A3	113	0	97	274	0	0
HAP1clL-5FU4-C4	65	0	0	269	0	0
HAP1clL-UNT1-A1	87	0	0	298	0	0
HAP1clL-UNT2-A2	81	0	0	365	0	0
HAP1clL-UNT3-A3	82	0	0	231	0	0
JG0070b	103	0	0	277	0	0
JG0070c	104	14	24	75	0	126
JG0070f	65	0	0	0	0	327
JG0070g	53	0	0	0	0	143
JG0070h	77	0	58	0	0	403
JG0070i	22	0	0	0	0	127
JG0070j	171	0	0	380	0	133
JG0070k	114	0	0	337	0	101
JG0070l	128	0	0	329	0	113
JG0073b	130	0	0	197	0	54
JG0073c	114	0	0	211	0	0
JG0073d	102	0	0	187	0	0
JG0073f	94	0	67	138	0	106
JG0073g	74	0	29	86	0	83
JG0073h	103	20	88	0	0	95
JG0073i	87	19	32	84	0	83
JG0073j	93	0	0	343	0	0
JG0073k	144	0	0	316	0	112
JG0073l	200	0	0	479	0	0
JG0074b	28	0	0	0	333	644
JG0074c	15	0	0	664	0	0
JG0074d	0	0	0	694	0	0
JG0074f	13	0	0	0	50	70
JG0074g	88	61	76	0	284	282
JG0074h	16	9	23	0	83	66
JG0074i	149	96	262	0	226	208
JG0075b	0	0	0	712	0	276
JG0075c	0	0	0	661	0	488
JG0075d	0	0	0	646	0	458
JG0075f	138	0	0	0	0	1631
JG0075g	10	66	81	353	0	446
JG0075h	11	0	0	0	55	194
JG0075i	108	0	115	0	0	1399
MTH1-5FU1-A5	108	44	138	183	0	0
MTH1-5FU2-B6	86	0	52	234	0	0
MTH1-5FU3-A7	66	21	47	0	0	34
MTH1-5FU4-C8	105	139	298	235	0	0
MTH1-UNT1-A5	59	0	0	270	0	0
MTH1-UNT3-A7	135	0	0	156	0	61
MTH1-UNT4-A8	95	0	0	209	0	69
MUTYH-5FU1-A9	69	0	58	0	421	150
MUTYH-5FU2-A10	153	63	448	0	504	221
MUTYH-5FU3-A11	38	95	294	0	401	177
MUTYH-5FU4-A7	144	0	0	567	0	0
MUTYH-UNT1-B9	51	0	0	0	597	199
MUTYH-UNT2-B10	89	0	0	0	690	272
MUTYH-UNT3-B11	75	0	0	0	536	368
