Samples	SBS1	SBS5	SBS17a	SBS17b	SBS18
JG0115n	0	31	0	0	50
JG0115o	0	114	0	0	195
JG0115p	0	34	0	0	71
JG0115q	0	62	0	0	110
JG0132b	0	79	0	0	137
JG0132c	0	132	0	0	132
JG0132d	0	99	0	0	112
JG0132e	0	90	0	0	119
JG0132f	0	119	0	0	174
JG0132g	0	87	0	0	193
JG0133b	0	194	273	380	0
JG0133c	0	197	210	238	0
JG0133d	0	199	267	336	0
JG0133e	0	0	197	209	153
JG0134b	0	0	245	253	169
JG0134c	0	0	180	176	179
JG0134d	0	196	390	386	0
JG0134e	0	0	404	416	211
JG0135b	0	246	343	458	0
JG0135c	0	106	148	193	0
JG0135d	0	0	297	280	184
JG0135e	0	213	296	301	0
JG0136b	0	0	153	205	204
JG0136c	0	0	47	179	157
JG0136d	0	0	47	74	115
JG0136e	0	105	31	75	145
JG0137b	0	0	199	508	357
JG0137c	0	144	63	243	232
JG0137d	0	0	107	216	249
JG0137e	0	495	202	938	0
JG0138b	0	205	309	480	0
JG0138c	0	192	593	589	0
JG0138d	0	126	0	0	163
JG0138e	0	262	521	1035	0
JG0139b	0	357	5844	5807	0
JG0139c	0	307	4432	4824	0
JG0139d	0	549	4097	5123	0
JG0139e	0	507	3178	3618	0
JG0140b	0	204	361	426	0
JG0140c	0	0	366	362	186
JG0140d	0	0	319	354	198
JG0140e	1	238	416	447	0
JG0164b	4	158	0	30	134
JG0164c	0	306	0	38	240
JG0164d	0	218	0	0	128
JG0165b	0	236	0	0	187
JG0165c	0	218	0	0	225
JG0165d	0	194	0	0	179
JG0165e	0	157	0	0	201
