Samples	SBS5	SBS17a	SBS17b	SBS18	UNG
JG0159b_final	245	0	0	632	0
JG0159c_final	180	0	0	312	0
JG0159d_final	183	0	0	533	0
JG0159e_final	176	0	0	404	0
JG0159f_final	286	365	867	466	0
JG0159g_final	754	828	2197	0	0
JG0159h_final	504	579	966	0	0
JG0159i_final	346	430	1374	668	0
JG0159j_final	298	369	426	400	0
JG0159k_final	302	632	579	520	0
JG0159l_final	326	632	670	462	0
JG0159m_final	282	824	978	412	0
JG0160b_final	181	0	0	399	140
JG0160c_final	139	0	0	321	136
JG0160d_final	130	0	0	356	167
JG0160e_final	143	0	0	258	170
JG0160f_final	216	0	0	259	125
JG0160g_final	213	0	0	333	131
JG0160h_final	275	0	0	337	148
JG0160j_final	544	0	0	345	0
JG0160k_final	207	0	0	483	162
JG0160l_final	486	0	0	382	0
JG0160m_final	393	0	0	413	149
JG0161b_final	184	0	0	511	0
JG0161c_final	164	0	0	366	0
JG0161d_final	190	0	0	339	0
JG0161e_final	267	0	0	269	0
JG0161f_final	1162	1104	3940	0	0
JG0161g_final	242	186	385	405	0
JG0161h_final	733	561	1131	0	0
JG0161i_final	418	525	1295	549	0
JG0161j_final	155	411	509	528	0
JG0161k_final	487	1133	1362	0	0
JG0161l_final	495	1080	1436	0	0
JG0161m_final	604	1326	1513	0	0
JG0162b_final	118	0	0	467	389
JG0162c_final	60	0	0	566	385
JG0162d_final	158	0	0	518	364
JG0162e_final	85	0	0	431	407
JG0162f_final	287	0	0	441	354
JG0162g_final	247	0	0	459	345
JG0162h_final	214	0	0	336	331
JG0162i_final	286	0	0	466	343
JG0162j_final	70	0	0	258	254
JG0162k_final	65	0	0	394	323
JG0162l_final	103	0	0	294	321
JG0162m_final	103	0	0	383	307
