Samples	SBS5	SBS17a	SBS17b	SBS18	SBS96D_CtoN	SBS96D_TtoN
JG0159b	245	0	0	632	0	0
JG0159c	180	0	0	312	0	0
JG0159d	183	0	0	533	0	0
JG0159e	176	0	0	404	0	0
JG0159n	169	103	130	367	0	0
JG0159o	159	191	213	476	0	0
JG0159p	215	149	92	367	0	0
JG0159q	346	184	165	450	0	0
JG0159r	283	119	172	311	0	0
JG0159s	348	211	190	432	0	0
JG0159t	265	381	350	373	0	0
JG0163n	67	0	0	38	0	0
JG0163o	80	0	0	0	0	0
JG0163p	72	0	0	37	0	0
JG0163q	56	0	0	32	0	0
JG0168b	8	0	0	140	0	0
JG0168c	0	0	0	206	0	0
JG0168d	8	0	0	170	0	0
JG0168e	10	0	0	179	0	0
JG0169b	97	0	0	88	0	0
JG0169c	62	0	0	175	0	86
JG0169d	120	0	0	213	0	0
JG0169e	130	40	0	70	0	0
JG0170b	113	354	0	403	0	0
JG0170c	181	227	0	445	0	0
JG0170d	164	769	0	426	0	0
JG0170e	149	511	0	318	0	0
JG0171b	149	136	167	247	0	0
JG0171c	158	161	248	0	139	0
JG0171d	160	250	347	287	0	0
JG0171e	155	478	551	306	0	0
JG0182b	97	105	77	0	569	558
JG0182c	109	158	142	0	921	1076
JG0182d	0	79	76	269	313	304
JG0182e	16	0	36	138	547	594
JG0183b	310	285	288	431	0	0
JG0183c	346	367	397	366	0	0
JG0183d	420	343	375	524	0	0
JG0183e	460	617	738	671	0	0
JG0202b	35	0	0	480	0	0
JG0202c	32	36	0	375	0	0
JG0202d	33	0	0	192	0	104
JG0203b	68	38	0	408	0	0
