id	SBS	DBS	ID	SV
JG0159b	892	5	47	4
JG0159c	509	8	54	3
JG0159d	736	9	36	4
JG0159e	611	1	34	3
JG0159f	2008	9	65	7
JG0159g	3804	9	67	5
JG0159h	2069	7	87	11
JG0159i	2840	9	71	10
JG0159j	1523	11	82	5
JG0159k	2048	5	75	5
JG0159l	2105	5	75	1
JG0159m	2519	7	67	8
JG0159n	769	5	70	1
JG0159o	1039	4	80	5
JG0159p	823	5	50	2
JG0159q	1145	10	77	9
JG0159r	885	8	42	3
JG0159s	1181	8	73	24
JG0159t	1369	6	74	8
JG0163b	89	0	28	9
JG0163c	95	0	29	16
JG0163d	160	0	27	15
JG0163e	97	1	32	18
JG0163f	205	0	42	20
JG0163g	121	1	34	14
JG0163h	132	1	39	9
JG0163i	104	0	25	2
JG0163j	100	0	19	7
JG0163k	106	1	30	11
JG0163l	110	0	26	13
JG0163m	158	1	37	12
JG0163n	105	0	44	23
JG0163o	80	0	27	5
JG0163p	94	0	28	8
JG0163q	76	0	41	9
JG0168b	148	0	36	34
JG0168c	206	0	44	19
JG0168d	178	0	35	25
JG0168e	189	0	39	28
JG0169b	185	1	40	11
JG0169c	323	0	73	20
JG0169d	333	0	66	26
JG0169e	240	0	85	18
JG0170b	870	6	56	3
JG0170c	853	7	65	11
JG0170d	1359	5	61	5
JG0170e	978	7	52	7
JG0171b	699	3	47	1
JG0171c	706	2	46	1
JG0171d	1044	2	70	5
JG0171e	1490	11	58	2
JG0182b	1406	28	65	4
JG0182c	2406	48	76	7
JG0182d	1044	8	73	2
JG0182e	1331	21	46	4
JG0183b	1314	10	58	9
JG0183c	1476	7	91	8
JG0183d	1662	8	97	7
JG0183e	2486	15	140	12
JG0202b	515	3	41	9
JG0202c	443	3	29	15
JG0202d	329	6	37	5
JG0203b	514	0	50	3
JG0203c	621	3	57	3
