"sample","snv_observed","snv_corrected","duplex_coverage","burden_corrected","burden_corrected_lci","burden_corrected_uci"
"JG0121v",501,500.40387462048,1172212885,4.2688822228778e-07,3.9032133952433e-07,4.65958325005566e-07
"JG0121w",481,482.935620361305,789069863,6.12031510778033e-07,5.58551259270172e-07,6.69250996241585e-07
"JG0121x",718,717.134555745008,1187113544,6.04099379852588e-07,5.60714624692001e-07,6.49949904248897e-07
"JG0121y",329,329.036301579195,794568282,4.14107017651121e-07,3.70563971565748e-07,4.61360530069879e-07
"JG0122n",237,238.379595239798,984250510,2.42194027656432e-07,2.1233851829082e-07,2.75071694022422e-07
"JG0122o",226,230.821521515595,905013349,2.55047642966419e-07,2.22877287791374e-07,2.90557140841132e-07
"JG0122p",204,211.719118190859,827171969,2.55955383070843e-07,2.22034972952724e-07,2.93592411644912e-07
"JG0122q",234,242.050809259456,1077309172,2.24680913845832e-07,1.9681319234106e-07,2.55388585965634e-07
"JG0123p",229,238.479041583611,991820113,2.40445861560796e-07,2.10309880478071e-07,2.73688135056993e-07
"JG0123q",200,205.878932343203,958411557,2.14812656253479e-07,1.86071670902506e-07,2.46735945406842e-07
"JG0123r",207,212.803907409396,792398952,2.68556523039667e-07,2.33215772626762e-07,3.07739718476264e-07
"JG0123s",353,359.258940913874,908937365,3.95251592406341e-07,3.55090142167096e-07,4.38711719957083e-07
"JG0124n",377,379.054955870504,1144393875,3.31227704159552e-07,2.98632268489822e-07,3.6641004986873e-07
"JG0124o",408,408.021349654178,1087773574,3.75097685223026e-07,3.39579394155299e-07,4.13321156175922e-07
"JG0124p",422,417.633178671023,1081967946,3.85994040040649e-07,3.50040366009625e-07,4.24638394079653e-07
"JG0147f",374,374.564898844331,736831277,5.08345547395012e-07,4.58125300152642e-07,5.62568123539413e-07
"JG0147g",454,461.962715394549,988553830,4.67311643913766e-07,4.25308743619741e-07,5.12340729220548e-07
"JG0147h",526,525.793402089569,1044142481,5.03564802368738e-07,4.61444720189123e-07,5.48496387439555e-07
"JG0147i",562,565.352521367961,1078425980,5.24238595742993e-07,4.81786761581601e-07,5.69428587514797e-07
"JG0148f",584,599.38355119648,1168416734,5.12987818262863e-07,4.72220641021781e-07,5.56332771058031e-07
"JG0148g",515,520.178609497404,1178782714,4.41284558485139e-07,4.03990387230533e-07,4.81095517859048e-07
"JG0148h",359,359.576843043875,760721186,4.72678886379635e-07,4.25042357392951e-07,5.2419378478862e-07
"JG0148i",478,490.76008903121,979988087,5.00781688615782e-07,4.56888661880512e-07,5.47753610378743e-07
