			count								burden per million bp							
Samples	Genotype	duplex_coverage	snv	SBS1	SBS5	SBS17a	SBS17b	SBS18	SBS40a	mSBS_N3	snv	SBS1	SBS5	SBS17a	SBS17b	SBS18	SBS40a	mSBS_N3
JG0121v_unique	WT	1172212885	242	2	54	26	23	0	137	0	0.206447142064984	0.00170617472780979	0.0460667176508642	0.0221802714615272	0.0196210093698126	0	0.11687296885497	0
JG0121w_unique	WT	789069863	269	2	0	12	59	0	0	196	0.340907709967881	0.00253462981388759	0	0.0152077788833256	0.074771579509684	0	0	0.248393721760984
JG0121x_unique	WT	1187113544	381	0	36	40	61	0	0	244	0.320946553028292	0	0.0303256585538544	0.0336951761709493	0.0513851436606977	0	0	0.205540574642791
JG0121y_unique	WT	794568282	154	3	41	10	14	31	55	0	0.193815941925555	0.00377563523231601	0.0516003481749854	0.0125854507743867	0.0176196310841414	0.0390148974005987	0.0692199792591268	0
JG0122n_unique	REV7	984250510	126	10	39	0	0	0	77	0	0.128016189699511	0.0101600150555167	0.0396240587165152	0	0	0	0.0782321159274787	0
JG0122o_unique	REV7	905013349	116	5	72	0	0	39	0	0	0.128174904964855	0.00552478038641616	0.0795568375643926	0	0	0.043093287014046	0	0
JG0122p_unique	REV7	827171969	101	6	47	0	0	0	48	0	0.122102783683667	0.00725363071388122	0.0568201072587362	0	0	0	0.0580290457110497	0
JG0122q_unique	REV7	1077309172	117	10	0	0	0	0	107	0	0.108603920806496	0.00928238639371762	0	0	0	0	0.0993215344127786	0
JG0123p_unique	REV1	991820113	108	7	56	12	0	33	0	0	0.108890713733691	0.00705773144570219	0.0564618515656175	0.0120989681926323	0	0.0332721625297389	0	0
JG0123q_unique	REV1	958411557	101	2	99	0	0	0	0	0	0.105382702516806	0.00208678618845161	0.103295916328355	0	0	0	0	0
JG0123r_unique	REV1	792398952	88	3	55	0	0	0	0	30	0.11105516959341	0.00378597169068442	0.069409480995881	0	0	0	0	0.0378597169068442
JG0123s_unique	REV1	908937365	113	4	23	0	0	0	86	0	0.124320997630018	0.0044007432789387	0.0253042738538975	0	0	0	0.094615980497182	0
JG0124n_unique	PCNA	1144393875	148	8	0	0	0	0	97	43	0.12932610286821	0.0069906001550384	0	0	0	0	0.0847610268798407	0.0375744758333314
JG0124o_unique	PCNA	1087773574	135	6	28	0	0	0	101	0	0.124106710465095	0.00551585379844868	0.0257406510594272	0	0	0	0.0928502056072195	0
JG0124p_unique	PCNA	1081967946	165	1	20	0	0	46	98	0	0.152499896702115	0.000924241798194639	0.0184848359638928	0	0	0.0425151227169534	0.0905756962230746	0
JG0147f_unique	WT+UGI cl1	736831277	194	5	69	21	18	0	81	0	0.263289583457788	0.00678581400664402	0.0936442332916875	0.0285004188279049	0.0244289304239185	0	0.109930186907633	0
JG0147g_unique	WT+UGI cl1	988553830	220	3	52	0	0	0	86	79	0.222547314393592	0.00303473610536717	0.052602092493031	0	0	0	0.0869957683538589	0.0799147174413355
JG0147h_unique	WT+UGI cl1	1044142481	203	0	47	0	0	0	103	53	0.194417911055187	0	0.0450130138896245	0	0	0	0.0986455410772622	0.0507593560883
JG0147i_unique	WT+UGI cl1	1078425980	205	0	16	0	0	0	144	45	0.190091859619332	0	0.0148364378239478	0	0	0	0.13352794041553	0.0417274813798533
JG0148f_unique	WT+UGI cl2	1168416734	225	0	42	0	0	0	100	83	0.192568279324216	0	0.035946078807187	0	0	0	0.0855859019218737	0.0710362985951552
JG0148g_unique	WT+UGI cl2	1178782714	224	0	32	0	0	60	132	0	0.190026539530677	0	0.0271466485043825	0	0	0.0508999659457171	0.111979925080578	0
JG0148h_unique	WT+UGI cl2	760721186	157	0	20	0	0	0	55	82	0.206383104466345	0	0.0262908413332924	0	0	0	0.072299813666554	0.107792449466499
JG0148i_unique	WT+UGI cl2	979988087	232	1	52	0	0	0	62	117	0.236737571688461	0.00102042056762268	0.0530618695163791	0	0	0	0.0632660751926059	0.119389206411853
